DATE,B4701C0A222NBEA
1948-01-01,99119
1949-01-01,95610
1950-01-01,100064
1951-01-01,108525
1952-01-01,110757
1953-01-01,112184
1954-01-01,107712
1955-01-01,111238
1956-01-01,113637
1957-01-01,113304
1958-01-01,109709
1959-01-01,113164
1960-01-01,114721
1961-01-01,114607
1962-01-01,118097
1963-01-01,120093
1964-01-01,122889
1965-01-01,127604
1966-01-01,133972
1967-01-01,136172
1968-01-01,139143
1969-01-01,143024
1970-01-01,140823
1971-01-01,140043
1972-01-01,144127
1973-01-01,150314
1974-01-01,150547
1975-01-01,146463
1976-01-01,150687
1977-01-01,155780
1978-01-01,162941
1979-01-01,167633
1980-01-01,166633
1981-01-01,167767
1982-01-01,163779
1983-01-01,166077
1984-01-01,174211
1985-01-01,177608
1986-01-01,179575
1987-01-01,184787.0
1988-01-01,189670
1989-01-01,194925
1990-01-01,196442
1991-01-01,192286
1992-01-01,193316
1993-01-01,196699
1994-01-01,202067
1995-01-01,207463
1996-01-01,210161
1997-01-01,216596
1998-01-01,222346
1999-01-01,226894
2000-01-01,230609
2001-01-01,227725
2002-01-01,225643.0
2003-01-01,224449.0
2004-01-01,227128.0
2005-01-01,230400.0
2006-01-01,234732.0
2007-01-01,236610.0
2008-01-01,234039.0
2009-01-01,221573.0
2010-01-01,222053.0
2011-01-01,226014.0
2012-01-01,230328.0
2013-01-01,233870.0
2014-01-01,238609.0
2015-01-01,243112.0
2016-01-01,246571.0
2017-01-01,250050.0
2018-01-01,254580.0
2019-01-01,257691.0
2020-01-01,244348.0
2021-01-01,253879.0
